# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
3.699999999999999817e-02, -4.661373290688588522e-01, -4.668895084672305962e-01, -4.668840729083164609e-01, -4.666108022367235209e-01
3.799999999999999906e-02, -4.643757586296524131e-01, -4.651537862353093966e-01, -4.651481934564292153e-01, -4.648644516667826965e-01
3.899999999999999994e-02, -4.625730287033470445e-01, -4.633770253153557950e-01, -4.633712758671189591e-01, -4.630769820495365674e-01
4.000000000000000083e-02, -4.607294854085506874e-01, -4.615595614802726621e-01, -4.615536559637900549e-01, -4.612487338967602990e-01
4.100000000000000172e-02, -4.588454826999127101e-01, -4.597017384723508515e-01, -4.596956775380005578e-01, -4.593800556268609059e-01
4.200000000000000261e-02, -4.569213823001655461e-01, -4.578039079285762813e-01, -4.577976922747752919e-01, -4.574713034936327416e-01
4.300000000000000350e-02, -4.549575536306754153e-01, -4.558664293050250227e-01, -4.558600596771040236e-01, -4.555228415138619646e-01
4.399999999999999745e-02, -4.529543737405136161e-01, -4.538896698004454833e-01, -4.538831469895664994e-01, -4.535350413937518366e-01
4.499999999999999833e-02, -4.509122272340654325e-01, -4.518740042788988998e-01, -4.518673291210354437e-01, -4.515082824541585826e-01
4.599999999999999922e-02, -4.488315061971868136e-01, -4.498198151914700738e-01, -4.498129885664169381e-01, -4.494429515546155551e-01
4.700000000000000011e-02, -4.467126101219248135e-01, -4.477274924969276149e-01, -4.477205153273868254e-01, -4.473394430161396484e-01
4.800000000000000100e-02, -4.445559458298166677e-01, -4.455974335814630316e-01, -4.455903068321050431e-01, -4.451981585428145261e-01
4.900000000000000189e-02, -4.423619273937813290e-01, -4.434300431772606466e-01, -4.434227678538728012e-01, -4.430195071421390574e-01
5.000000000000000278e-02, -4.401309760586183950e-01, -4.412257332800853526e-01, -4.412183104287230040e-01, -4.408039050441459050e-01
5.100000000000000366e-02, -4.378635201601308036e-01, -4.389849230657077439e-01, -4.389773537719215968e-01, -4.385517756192909289e-01
5.200000000000000455e-02, -4.355599950428853950e-01, -4.367080388053590223e-01, -4.367003241933762880e-01, -4.362635492951046357e-01
5.299999999999999850e-02, -4.332208429766286062e-01, -4.343955137799312971e-01, -4.343876550119336044e-01, -4.339396634716239376e-01
5.399999999999999939e-02, -4.308465130713710622e-01, -4.320477881931717445e-01, -4.320397864685711631e-01, -4.315805624355998349e-01
5.500000000000000028e-02, -4.284374611911607178e-01, -4.296653090838210565e-01, -4.296571656384708393e-01, -4.291866972734902363e-01
5.600000000000000117e-02, -4.259941498665582027e-01, -4.272485302363674964e-01, -4.272402463419798790e-01, -4.267585257832459678e-01
5.700000000000000205e-02, -4.235170482058318586e-01, -4.247979120910572171e-01, -4.247894890544569035e-01, -4.242965123848982945e-01
5.800000000000000294e-02, -4.210066318048910627e-01, -4.223139216525290118e-01, -4.223053608150065807e-01, -4.218011280299596710e-01
5.900000000000000383e-02, -4.184633826559726599e-01, -4.197970323974894447e-01, -4.197883351341079039e-01, -4.192728501096449900e-01
5.999999999999999778e-02, -4.158877890551004874e-01, -4.172477241811297088e-01, -4.172388919001414620e-01, -4.167121623619288728e-01
6.099999999999999867e-02, -4.132803455083335908e-01, -4.146664831425990738e-01, -4.146575172848234181e-01, -4.141195547774508268e-01
6.199999999999999956e-02, -4.106415526368233371e-01, -4.120538016093835965e-01, -4.120447036475525238e-01, -4.114955235042749293e-01
6.300000000000000044e-02, -4.079719170806941908e-01, -4.094101780004693047e-01, -4.094009494386838255e-01, -4.088405707515309628e-01
6.400000000000000133e-02, -4.052719514017724123e-01, -4.067361167286147050e-01, -4.067267591017343364e-01, -4.061552046919377212e-01
6.500000000000000222e-02, -4.025421739851737235e-01, -4.040321281015414878e-01, -4.040226429745360504e-01, -4.034399393632328579e-01
6.600000000000000311e-02, -3.997831089397765880e-01, -4.012987282218827279e-01, -4.012891171893459008e-01, -4.006952945685189893e-01
6.700000000000000400e-02, -3.969952859975937054e-01, -3.985364388864340857e-01, -3.985267035719271544e-01, -3.979217957755477042e-01
6.800000000000000488e-02, -3.941792404120659232e-01, -3.957457874840784040e-01, -3.957359295396148946e-01, -3.951199740149504147e-01
6.900000000000000577e-02, -3.913355128552948314e-01, -3.929273068929114432e-01, -3.929173279983808054e-01, -3.922903657774410302e-01
7.000000000000000666e-02, -3.884646493142354107e-01, -3.900815353763095183e-01, -3.900714372389097462e-01, -3.894335129100022219e-01
7.100000000000000755e-02, -3.855672009858685523e-01, -3.872090164779820043e-01, -3.871988008317090446e-01, -3.865499625110763726e-01
7.200000000000000844e-02, -3.826437241713720461e-01, -3.843102989162121563e-01, -3.842999675212576127e-01, -3.836402668247730352e-01
7.299999999999999545e-02, -3.796947801693134616e-01, -3.813859364769598415e-01, -3.813754911192200892e-01, -3.807049831341223767e-01
7.399999999999999634e-02, -3.767209351678821871e-01, -3.784364879062822595e-01, -3.784259303967397736e-01, -3.777446736533812133e-01
7.499999999999999722e-02, -3.737227601361829410e-01, -3.754625168015690018e-01, -3.754518489758230104e-01, -3.747599054194192258e-01
7.599999999999999811e-02, -3.707008307146115178e-01, -3.724645915021275733e-01, -3.724538152198419438e-01, -3.717512501822006210e-01
7.699999999999999900e-02, -3.676557271043334185e-01, -3.694432849788035766e-01, -3.694324021231650823e-01, -3.687192842943807780e-01
7.799999999999999989e-02, -3.645880339558871808e-01, -3.663991747227741125e-01, -3.663881871999393192e-01, -3.656645886000419732e-01
7.900000000000000078e-02, -3.614983402569338367e-01, -3.633328426334008210e-01, -3.633217523720400632e-01, -3.625877483225799502e-01
8.000000000000000167e-02, -3.583872392191718159e-01, -3.602448749055614519e-01, -3.602336838562098520e-01, -3.594893529517715347e-01
8.100000000000000255e-02, -3.552553281644430516e-01, -3.571358619158157000e-01, -3.571245720504029886e-01, -3.563699961300357266e-01
