# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
1.079999999999999988e-01, -5.637235590967872856e-01, -5.634243630727636676e-01, -5.634376826482888623e-01, -5.635807148843507974e-01
1.089999999999999997e-01, -5.647625848821451466e-01, -5.644605007373713068e-01, -5.644739070200280873e-01, -5.646183116684235781e-01
1.100000000000000006e-01, -5.658063572136948771e-01, -5.655014111648288821e-01, -5.655149026881312047e-01, -5.656606674218472852e-01
1.110000000000000014e-01, -5.668547591900261473e-01, -5.665469780761959173e-01, -5.665605533601602017e-01, -5.667076655522101936e-01
1.120000000000000023e-01, -5.679076733912138408e-01, -5.675970846696818395e-01, -5.676107422210379116e-01, -5.677591889464722597e-01
1.130000000000000032e-01, -5.689649818919679802e-01, -5.686516136337504967e-01, -5.686653519461579709e-01, -5.688151199840965067e-01
1.140000000000000041e-01, -5.700265662748417173e-01, -5.697104471602808529e-01, -5.697242647145465133e-01, -5.698753405502340330e-01
1.150000000000000050e-01, -5.710923076434940571e-01, -5.707734669577928521e-01, -5.707873622220828169e-01, -5.709397320489651984e-01
1.160000000000000059e-01, -5.721620866360057622e-01, -5.718405542647073680e-01, -5.718545256947689115e-01, -5.720081754165965426e-01
1.170000000000000068e-01, -5.732357834382475481e-01, -5.729115898626850889e-01, -5.729256359020546974e-01, -5.730805511350028913e-01
1.180000000000000077e-01, -5.743132777973005698e-01, -5.739864540899866086e-01, -5.740005731702104708e-01, -5.741567392450295237e-01
1.190000000000000085e-01, -5.753944490349223173e-01, -5.750650268549012400e-01, -5.750792173957481879e-01, -5.752366193599344202e-01
1.199999999999999956e-01, -5.764791760610643578e-01, -5.761471876492115785e-01, -5.761614480588930221e-01, -5.763200706788815797e-01
1.209999999999999964e-01, -5.775673373874342653e-01, -5.772328155617134637e-01, -5.772471442370972206e-01, -5.774069720004822992e-01
1.219999999999999973e-01, -5.786588111411007374e-01, -5.783217892917685843e-01, -5.783361846186000355e-01, -5.784972017363768648e-01
1.229999999999999982e-01, -5.797534750781437873e-01, -5.794139871629189198e-01, -5.794284475160302872e-01, -5.795906379248604301e-01
1.239999999999999991e-01, -5.808512065973472360e-01, -5.805092871365169493e-01, -5.805238108800491181e-01, -5.806871582445538582e-01
1.250000000000000000e-01, -5.819518827539286177e-01, -5.816075668254150344e-01, -5.816221523130349347e-01, -5.817866400281075379e-01
1.260000000000000009e-01, -5.830553802733082769e-01, -5.827087035076869981e-01, -5.827233490828034324e-01, -5.828889602759503852e-01
1.270000000000000018e-01, -5.841615755649185449e-01, -5.838125741403891178e-01, -5.838272781363681441e-01, -5.839939956700715973e-01
1.280000000000000027e-01, -5.852703447360422251e-01, -5.849190553733430997e-01, -5.849338161137324077e-01, -5.851016225878389321e-01
1.290000000000000036e-01, -5.863815636056917135e-01, -5.860280235629753420e-01, -5.860428393617180820e-01, -5.862117171158509610e-01
1.300000000000000044e-01, -5.874951077185150972e-01, -5.871393547861730733e-01, -5.871542239478244607e-01, -5.873241550638206299e-01
1.310000000000000053e-01, -5.886108523587351149e-01, -5.882529248541680245e-01, -5.882678456741193829e-01, -5.884388119784906834e-01
1.320000000000000062e-01, -5.897286725641192051e-01, -5.893686093264665082e-01, -5.893835800911575440e-01, -5.895555631575777333e-01
1.330000000000000071e-01, -5.908484431399724235e-01, -5.904862835247840502e-01, -5.905013025119293379e-01, -5.906742836637431937e-01
1.340000000000000080e-01, -5.919700386731612252e-01, -5.916058225470340881e-01, -5.916208880258323477e-01, -5.917948483385916392e-01
1.350000000000000089e-01, -5.930933335461576750e-01, -5.927271012813116746e-01, -5.927422115126703694e-01, -5.929171318166924776e-01
