# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
2.020000000000000129e-01, -1.229205657784623179e-02, -1.486002190038801345e-02, -1.485239385833957149e-02, -1.356216983387986165e-02
2.040000000000000147e-01, -1.023788645991574424e-02, -1.265769680526802887e-02, -1.265031825310596568e-02, -1.143264437167260811e-02
2.060000000000000164e-01, -8.367841860698265258e-03, -1.063187606078340973e-02, -1.062475267281316922e-02, -9.483311088169205788e-03
2.080000000000000182e-01, -6.683358882532042591e-03, -8.783533780864702378e-03, -8.776672743133260776e-03, -7.715347492517822536e-03
2.099999999999999922e-01, -5.185731125550409326e-03, -7.113407750422419060e-03, -7.106818403976983799e-03, -6.129730176200155062e-03
2.119999999999999940e-01, -3.876108694261527678e-03, -5.621963785661633628e-03, -5.615658617591322635e-03, -4.727210235797987825e-03
2.139999999999999958e-01, -2.755497314323625702e-03, -4.309343446091370641e-03, -4.303339706063354260e-03, -3.508275825801518682e-03
2.159999999999999976e-01, -1.824757560197713072e-03, -3.175284314986370326e-03, -3.169606747961426461e-03, -2.473091820221219247e-03
2.179999999999999993e-01, -1.084604194268109275e-03, -2.218992461364901504e-03, -2.213678246759376560e-03, -1.621395569448157766e-03
2.200000000000000011e-01, -5.356056179411272829e-04, -1.438926095007659819e-03, -1.434034324338870261e-03, -9.522998216897405385e-04
2.220000000000000029e-01, -1.781834351393314121e-04, -8.324008251296295116e-04, -8.280323488802913317e-04, -4.638718875038941921e-04
2.240000000000000047e-01, -1.261212853210980477e-05, -3.948011490017510044e-04, -3.911443443349340546e-04, -1.520617166301775560e-04
2.260000000000000064e-01, -3.901884874452612230e-05, -1.178184887834412685e-04, -1.152676345715505723e-04, -7.073490594039426515e-06
2.280000000000000082e-01, -2.573833167133876922e-04, 1.500081791968843525e-05, 1.551378755383909760e-05, 9.386501167652581646e-07
2.300000000000000100e-01, -6.675378392601528585e-04, 3.170619672323225882e-05, 2.640306053956837160e-05, -7.709046163262002439e-05
2.320000000000000118e-01, -1.269167437870925364e-03, -1.214925294606062731e-05, -2.554072121593697735e-05, -3.098866759521654371e-04
2.340000000000000135e-01, -2.061810090584402250e-03, -9.984378960137884154e-05, -1.397266542682337037e-04, -7.099409224051593569e-04
2.360000000000000153e-01, -3.044857086802451283e-03, -2.954366582261972298e-04, -3.958953490742491647e-04, -1.288948847502773953e-03
2.380000000000000171e-01, -4.217553494749413934e-03, -6.527989167800362248e-04, -8.053314133645158527e-04, -2.049691275924905940e-03
