# time, ED spin correlation, NQS regularization spin correlation, NQS diagonalization spin correlation, NQS geometric spin correlation
4.399999999999999745e-02, -4.509122272340654325e-01, -5.122448891100768176e-01, -5.122504144138215754e-01, -5.123420733054945275e-01
4.599999999999999922e-02, -4.467126101219248135e-01, -5.133147864694970197e-01, -5.133205920589837268e-01, -5.134181241007714780e-01
4.800000000000000100e-02, -4.423619273937813290e-01, -5.144264749258442571e-01, -5.144325602399731912e-01, -5.145360443993477473e-01
5.000000000000000278e-02, -4.378635201601308036e-01, -5.155794642635257441e-01, -5.155858284954352166e-01, -5.156953369794710085e-01
5.200000000000000455e-02, -4.332208429766286062e-01, -5.167732455115251478e-01, -5.167798876173865796e-01, -5.168954859919505651e-01
5.399999999999999939e-02, -4.284374611911607178e-01, -5.180072911947977143e-01, -5.180142099018264501e-01, -5.181359571978325640e-01
5.600000000000000117e-02, -4.235170482058318586e-01, -5.192810555903457637e-01, -5.192882494036072938e-01, -5.194161982140104161e-01
5.800000000000000294e-02, -4.184633826559726599e-01, -5.205939749893517821e-01, -5.206014421986114860e-01, -5.207356387666560726e-01
5.999999999999999778e-02, -4.132803455083335908e-01, -5.219454679662713925e-01, -5.219532066516535673e-01, -5.220936909511396662e-01
6.199999999999999956e-02, -4.079719170806941908e-01, -5.233349356525930363e-01, -5.233429436906709142e-01, -5.234897495014345647e-01
6.400000000000000133e-02, -4.025421739851737235e-01, -5.247617620185442977e-01, -5.247700370875871823e-01, -5.249231920649506389e-01
6.600000000000000311e-02, -3.969952859975937054e-01, -5.262253141601556106e-01, -5.262338537451054510e-01, -5.263933794853927761e-01
6.800000000000000488e-02, -3.913355128552948314e-01, -5.277249425930286009e-01, -5.277337439904909999e-01, -5.278996560932759374e-01
7.000000000000000666e-02, -3.855672009858685523e-01, -5.292599815528766793e-01, -5.292690418753426274e-01, -5.294413500025452191e-01
7.200000000000000844e-02, -3.796947801693134616e-01, -5.308297493017006818e-01, -5.308390654824303168e-01, -5.310177734150492990e-01
7.399999999999999634e-02, -3.737227601361829410e-01, -5.324335484414891573e-01, -5.324431172382336763e-01, -5.326282229314723837e-01
7.599999999999999811e-02, -3.676557271043334185e-01, -5.340706662324021803e-01, -5.340804842320513446e-01, -5.342719798690120925e-01
7.799999999999999989e-02, -3.614983402569338367e-01, -5.357403749195390752e-01, -5.357504385420280846e-01, -5.359483105858732221e-01
8.000000000000000167e-02, -3.552553281644430516e-01, -5.374419320639121089e-01, -5.374522375656640705e-01, -5.376564668122447710e-01
8.200000000000000344e-02, -3.489314851532995254e-01, -5.391745808809542684e-01, -5.391851243587767462e-01, -5.393956859868146436e-01
8.400000000000000522e-02, -3.425316676241139668e-01, -5.409375505831923725e-01, -5.409483279783739995e-01, -5.411651916016262387e-01
8.600000000000000699e-02, -3.360607903221933812e-01, -5.427300567308949164e-01, -5.427410638326591874e-01, -5.429641935505256090e-01
8.799999999999999489e-02, -3.295238225632570184e-01, -5.445513015869624107e-01, -5.445625340361517353e-01, -5.447918884854060506e-01
8.999999999999999667e-02, -3.229257844172470082e-01, -5.464004744782393619e-01, -5.464119277709109657e-01, -5.466474601771402764e-01
9.199999999999999845e-02, -3.162717428531608976e-01, -5.482767521618613360e-01, -5.482884216524415155e-01, -5.485300798827954516e-01
9.400000000000000022e-02, -3.095668078478688301e-01, -5.501792991971107272e-01, -5.501911801022854043e-01, -5.504389067181753026e-01
9.600000000000000200e-02, -3.028161284619021454e-01, -5.521072683225913824e-01, -5.521193557247409123e-01, -5.523730880355173234e-01
9.800000000000000377e-02, -2.960248888852287652e-01, -5.540598008383528228e-01, -5.540720896889055336e-01, -5.543317598070194308e-01
1.000000000000000056e-01, -2.891983044560491045e-01, -5.560360269929379706e-01, -5.560485121158149635e-01, -5.563140470120754300e-01
1.020000000000000073e-01, -2.823416176556727275e-01, -5.580350663752285945e-01, -5.580477424703327305e-01, -5.583190640309734221e-01
1.040000000000000091e-01, -2.754600940825513433e-01, -5.600560283109333737e-01, -5.600688899573990076e-01, -5.603459150419812795e-01
1.059999999999999970e-01, -2.685590184085573373e-01, -5.620980122633660869e-01, -5.621110539228064695e-01, -5.623936944236762603e-01
1.079999999999999988e-01, -2.616436903206149633e-01, -5.641601082387027732e-01, -5.641733242594512143e-01, -5.644614871609632267e-01
1.100000000000000006e-01, -2.547194204508025361e-01, -5.662413971947970470e-01, -5.662547818147537493e-01, -5.665483692569128760e-01
1.120000000000000023e-01, -2.477915262980466549e-01, -5.683409514550722408e-01, -5.683544988047591895e-01, -5.686534081454449607e-01
1.140000000000000041e-01, -2.408653281445458372e-01, -5.704578351248590362e-01, -5.704715392312562638e-01, -5.707756631108098500e-01
1.160000000000000059e-01, -2.339461449700542539e-01, -5.725911045122291654e-01, -5.726049593019260087e-01, -5.729141857093329460e-01
1.180000000000000077e-01, -2.270392903671666629e-01, -5.747398085509825005e-01, -5.747538078538444450e-01, -5.750680201946201109e-01
1.199999999999999956e-01, -2.201500684607410607e-01, -5.769029892292757422e-01, -5.769171267820655258e-01, -5.772362039458248661e-01
1.219999999999999973e-01, -2.132837698345913802e-01, -5.790796820183631288e-01, -5.790939514674420252e-01, -5.794177679010015236e-01
1.239999999999999991e-01, -2.064456674685787863e-01, -5.812689163060470454e-01, -5.812833112115664003e-01, -5.816117369887812139e-01
