# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999940000240006288e-01, -4.999941965381292097e-01
1.000000000000000021e-03, -4.999760003839983646e-01, -4.999768431892507303e-01
2.000000000000000042e-03, -4.999460019439732616e-01, -4.999478698090616402e-01
3.000000000000000062e-03, -4.999040061438443372e-01, -4.999072119637742451e-01
4.000000000000000083e-03, -4.998500149994019592e-01, -4.998548125234999473e-01
5.000000000000000104e-03, -4.997840311022108684e-01, -4.997906312773843229e-01
6.000000000000000125e-03, -4.997060576194852222e-01, -4.997146411952632095e-01
7.000000000000000146e-03, -4.996160982939372719e-01, -4.996268240799055516e-01
8.000000000000000167e-03, -4.995141574435974507e-01, -4.995271677048181425e-01
9.000000000000001055e-03, -4.994002399616070398e-01, -4.994156640554660576e-01
1.000000000000000021e-02, -4.992743513159832447e-01, -4.992923082337358265e-01
1.099999999999999936e-02, -4.991364975493568501e-01, -4.991570977531107345e-01
1.200000000000000025e-02, -4.989866852786822848e-01, -4.990100320691184810e-01
1.300000000000000114e-02, -4.988249216949195985e-01, -4.988511122560891908e-01
1.400000000000000029e-02, -4.986512145626898485e-01, -4.986803407779712982e-01
1.499999999999999944e-02, -4.984655722199022865e-01, -4.984977213215261438e-01
1.600000000000000033e-02, -4.982680035773534022e-01, -4.983032586720809731e-01
1.700000000000000122e-02, -4.980585181183002641e-01, -4.980969586190674425e-01
1.800000000000000211e-02, -4.978371258980044400e-01, -4.978788278828849001e-01
1.899999999999999953e-02, -4.976038375432500493e-01, -4.976488740573403735e-01
2.000000000000000042e-02, -4.973586642518335599e-01, -4.974071055636817285e-01
2.100000000000000130e-02, -4.971016177920257184e-01, -4.971535316133954274e-01
2.199999999999999872e-02, -4.968327105020072798e-01, -4.968881621777289093e-01
2.299999999999999961e-02, -4.965519552892765365e-01, -4.966110079624440621e-01
2.400000000000000050e-02, -4.962593656300297584e-01, -4.963220803866876807e-01
2.500000000000000139e-02, -4.959549555685146549e-01, -4.960213915651335848e-01
2.600000000000000228e-02, -4.956387397163554698e-01, -4.957089542927565762e-01
2.699999999999999969e-02, -4.953107332518525974e-01, -4.953847820317385242e-01
2.800000000000000058e-02, -4.949709519192529994e-01, -4.950488889001156134e-01
2.900000000000000147e-02, -4.946194120279956419e-01, -4.947012896618637190e-01
2.999999999999999889e-02, -4.942561304519278997e-01, -4.943419997181688896e-01
3.099999999999999978e-02, -4.938811246284954271e-01, -4.939710350996927013e-01
3.200000000000000067e-02, -4.934944125579058816e-01, -4.935884124596718880e-01
