# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999988000058245285e-01, -4.999988496284251127e-01
1.000000000000000021e-03, -4.999952000931842111e-01, -4.999953967485195050e-01
2.000000000000000042e-03, -4.999892004717369498e-01, -4.999896364490395428e-01
3.000000000000000062e-03, -4.999808014908992404e-01, -4.999815617540965818e-01
4.000000000000000083e-03, -4.999700036398254110e-01, -4.999711649534220315e-01
5.000000000000000104e-03, -4.999568075473787565e-01, -4.999584386135905167e-01
6.000000000000000125e-03, -4.999412139820964551e-01, -4.999433761370186691e-01
7.000000000000000146e-03, -4.999232238521432725e-01, -4.999259719682244696e-01
8.000000000000000167e-03, -4.999028382052591590e-01, -4.999062215970583312e-01
9.000000000000001055e-03, -4.998800582286984096e-01, -4.998841214705375680e-01
1.000000000000000021e-02, -4.998548852491604411e-01, -4.998596688764570528e-01
1.099999999999999936e-02, -4.998273207327128542e-01, -4.998328618286453917e-01
1.200000000000000025e-02, -4.997973662847043919e-01, -4.998036989654880968e-01
1.300000000000000114e-02, -4.997650236496745668e-01, -4.997721794645964555e-01
1.400000000000000029e-02, -4.997302947112489679e-01, -4.997383029728073578e-01
1.499999999999999944e-02, -4.996931814920310133e-01, -4.997020695493989972e-01
1.600000000000000033e-02, -4.996536861534843221e-01, -4.996634796202127360e-01
1.700000000000000122e-02, -4.996118109958059272e-01, -4.996225339405600541e-01
1.800000000000000211e-02, -4.995675584577934925e-01, -4.995792335651396687e-01
1.899999999999999953e-02, -4.995209311167022603e-01, -4.995335798235219782e-01
2.000000000000000042e-02, -4.994719316880952831e-01, -4.994855743000533588e-01
2.100000000000000130e-02, -4.994205630256857709e-01, -4.994352188172844209e-01
2.199999999999999872e-02, -4.993668281211697257e-01, -4.993825154222081841e-01
2.299999999999999961e-02, -4.993107301040526358e-01, -4.993274663747608866e-01
2.400000000000000050e-02, -4.992522722414676761e-01, -4.992700741381453922e-01
2.500000000000000139e-02, -4.991914579379839734e-01, -4.992103413706365789e-01
2.600000000000000228e-02, -4.991282907354094300e-01, -4.991482709185944278e-01
2.699999999999999969e-02, -4.990627743125840565e-01, -4.990838658104718162e-01
