# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -5.000239991040137388e-01, -5.000217938417331753e-01
1.000000000000000021e-03, -5.000959856648568014e-01, -5.000924817783880538e-01
2.000000000000000042e-03, -5.002159274337540928e-01, -5.002060925824112214e-01
3.000000000000000062e-03, -5.003837706787989115e-01, -5.003648124414589171e-01
4.000000000000000083e-03, -5.005994402090251372e-01, -5.005694552998376512e-01
5.000000000000000104e-03, -5.008628394080901769e-01, -5.008203708131199194e-01
6.000000000000000125e-03, -5.011738502775580084e-01, -5.011177063433237544e-01
7.000000000000000146e-03, -5.015323334897613394e-01, -5.014614993779545893e-01
8.000000000000000167e-03, -5.019381284502160145e-01, -5.018517170226232116e-01
9.000000000000001055e-03, -5.023910533695674641e-01, -5.022882753769365438e-01
1.000000000000000021e-02, -5.028909053450265620e-01, -5.027710500709706709e-01
1.099999999999999936e-02, -5.034374604512682483e-01, -5.032998824725187781e-01
1.200000000000000025e-02, -5.040304738407465068e-01, -5.038745835891674796e-01
1.300000000000000114e-02, -5.046696798533811812e-01, -5.044949366591794382e-01
1.400000000000000029e-02, -5.053547921355687755e-01, -5.051606989559179750e-01
1.499999999999999944e-02, -5.060855037684657276e-01, -5.058716030997403301e-01
1.600000000000000033e-02, -5.068614874054816477e-01, -5.066273580503661833e-01
1.700000000000000122e-02, -5.076823954189256805e-01, -5.074276498858895090e-01
1.800000000000000211e-02, -5.085478600557375994e-01, -5.082721424359594176e-01
1.899999999999999953e-02, -5.094574936022351341e-01, -5.091604778134615206e-01
2.000000000000000042e-02, -5.104108885578026999e-01, -5.100922768745577152e-01
2.100000000000000130e-02, -5.114076178174460363e-01, -5.110671396277153278e-01
2.199999999999999872e-02, -5.124472348631273766e-01, -5.120846456062542185e-01
2.299999999999999961e-02, -5.135292739637979942e-01, -5.131443542148518278e-01
2.400000000000000050e-02, -5.146532503840377526e-01, -5.142458050576217410e-01
2.500000000000000139e-02, -5.158186606012091779e-01, -5.153885182534042597e-01
2.600000000000000228e-02, -5.170249825310263558e-01, -5.165719947425021497e-01
2.699999999999999969e-02, -5.182716757614405090e-01, -5.177957165880593404e-01
2.800000000000000058e-02, -5.195581817947358960e-01, -5.190591472745518242e-01
2.900000000000000147e-02, -5.208839242977262307e-01, -5.203617320052663642e-01
2.999999999999999889e-02, -5.222483093599430415e-01, -5.217028980002529348e-01
3.099999999999999978e-02, -5.236507257596982878e-01, -5.230820547958935363e-01
3.200000000000000067e-02, -5.250905452379003302e-01, -5.244985945469766708e-01
3.300000000000000155e-02, -5.265671227795040155e-01, -5.259518923319956851e-01
3.400000000000000244e-02, -5.280797969024664251e-01, -5.274413064622069935e-01
3.500000000000000333e-02, -5.296278899540803886e-01, -5.289661787948799487e-01
3.600000000000000422e-02, -5.312107084145505365e-01, -5.305258350510669851e-01
3.699999999999999817e-02, -5.328275432076794438e-01, -5.321195851381491648e-01
3.799999999999999906e-02, -5.344776700185217555e-01, -5.337467234773288771e-01
