# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -4.999772003295340772e-01, -4.999834939048437010e-01
1.000000000000000021e-03, -4.999088052724539044e-01, -4.999237964724002059e-01
2.000000000000000042e-03, -4.997948266910266502e-01, -4.998201501011417247e-01
3.000000000000000062e-03, -4.996352843534119792e-01, -4.996721855864013628e-01
4.000000000000000083e-03, -4.994302059302330732e-01, -4.994797175287688518e-01
5.000000000000000104e-03, -4.991796269897775251e-01, -4.992426475406379072e-01
6.000000000000000125e-03, -4.988835909918281630e-01, -4.989609244927472598e-01
7.000000000000000146e-03, -4.985421492801269672e-01, -4.986345278624542132e-01
8.000000000000000167e-03, -4.981553610734683613e-01, -4.982634594970176134e-01
9.000000000000001055e-03, -4.977232934554295385e-01, -4.978477390172317829e-01
1.000000000000000021e-02, -4.972460213627343806e-01, -4.973874010201865259e-01
1.099999999999999936e-02, -4.967236275722586858e-01, -4.968824932629056224e-01
1.200000000000000025e-02, -4.961562026866719877e-01, -4.963330754218908680e-01
1.300000000000000114e-02, -4.955438451187240689e-01, -4.957392182108043555e-01
1.400000000000000029e-02, -4.948866610741765037e-01, -4.951010027313141326e-01
1.499999999999999944e-02, -4.941847645333823924e-01, -4.944185199814785103e-01
1.600000000000000033e-02, -4.934382772315182297e-01, -4.936918704738816333e-01
1.700000000000000122e-02, -4.926473286374705163e-01, -4.929211639322257366e-01
1.800000000000000211e-02, -4.918120559313807205e-01, -4.921065190452197369e-01
1.899999999999999953e-02, -4.909326039808532549e-01, -4.912480632630811250e-01
2.000000000000000042e-02, -4.900091253158292970e-01, -4.903459326262361584e-01
2.100000000000000130e-02, -4.890417801021340605e-01, -4.894002716186522384e-01
2.199999999999999872e-02, -4.880307361136962396e-01, -4.884112330402464175e-01
2.299999999999999961e-02, -4.869761687034510067e-01, -4.873789778941733930e-01
2.400000000000000050e-02, -4.858782607729261738e-01, -4.863036752858305722e-01
2.500000000000000139e-02, -4.847372027405211781e-01, -4.851855023311317239e-01
2.600000000000000228e-02, -4.835531925084806670e-01, -4.840246440721334698e-01
2.699999999999999969e-02, -4.823264354285713429e-01, -4.828212933985284727e-01
2.800000000000000058e-02, -4.810571442664656749e-01, -4.815756509737960100e-01
2.900000000000000147e-02, -4.797455391648412504e-01, -4.802879251650650771e-01
2.999999999999999889e-02, -4.783918476051990387e-01, -4.789583319759080360e-01
3.099999999999999978e-02, -4.769963043684099513e-01, -4.775870949814358113e-01
3.200000000000000067e-02, -4.755591514939941367e-01, -4.761744452651848203e-01
3.300000000000000155e-02, -4.740806382381437811e-01, -4.747206213573546552e-01
3.400000000000000244e-02, -4.725610210304916348e-01, -4.732258691740590106e-01
3.500000000000000333e-02, -4.710005634296370314e-01, -4.716904419572836016e-01
3.600000000000000422e-02, -4.693995360774342318e-01, -4.701146002153067660e-01
3.699999999999999817e-02, -4.677582166520542484e-01, -4.684986116633827469e-01
3.799999999999999906e-02, -4.660768898198233701e-01, -4.668427511644951955e-01
3.899999999999999994e-02, -4.643558471858528769e-01, -4.651473006700546642e-01
4.000000000000000083e-02, -4.625953872434629965e-01, -4.634125491603951486e-01
4.100000000000000172e-02, -4.607958153224129827e-01, -4.616387925849718687e-01
4.200000000000000261e-02, -4.589574435359456972e-01, -4.598263338021708058e-01
4.300000000000000350e-02, -4.570805907266553003e-01, -4.579754825186397871e-01
4.399999999999999745e-02, -4.551655824111884296e-01, -4.560865552280946034e-01
4.499999999999999833e-02, -4.532127507237865283e-01, -4.541598751495277697e-01
4.599999999999999922e-02, -4.512224343586823672e-01, -4.521957721647733019e-01
4.700000000000000011e-02, -4.491949785113570348e-01, -4.501945827553885393e-01
4.800000000000000100e-02, -4.471307348186703279e-01, -4.481566499388318081e-01
4.900000000000000189e-02, -4.450300612978737025e-01, -4.460823232038725328e-01
5.000000000000000278e-02, -4.428933222845166662e-01, -4.439719584452481715e-01
5.100000000000000366e-02, -4.407208883692574908e-01, -4.418259178975234569e-01
5.200000000000000455e-02, -4.385131363335882937e-01, -4.396445700681347879e-01
5.299999999999999850e-02, -4.362704490844883098e-01, -4.374282896696172207e-01
5.399999999999999939e-02, -4.339932155880120712e-01, -4.351774575510022891e-01
5.500000000000000028e-02, -4.316818308018283146e-01, -4.328924606283585108e-01
5.600000000000000117e-02, -4.293366956067203866e-01, -4.305736918145007808e-01
5.700000000000000205e-02, -4.269582167370577497e-01, -4.282215499478344012e-01
5.800000000000000294e-02, -4.245468067102537435e-01, -4.258364397203397433e-01
5.900000000000000383e-02, -4.221028837552179835e-01, -4.234187716047224104e-01
5.999999999999999778e-02, -4.196268717398216608e-01, -4.209689617806743334e-01
6.099999999999999867e-02, -4.171192000973818481e-01, -4.184874320603028663e-01
6.199999999999999956e-02, -4.145803037521819667e-01, -4.159746098127055092e-01
6.300000000000000044e-02, -4.120106230440398476e-01, -4.134309278876883154e-01
6.400000000000000133e-02, -4.094106036519359337e-01, -4.108568245386389206e-01
6.500000000000000222e-02, -4.067806965167160005e-01, -4.082527433445752307e-01
6.600000000000000311e-02, -4.041213577628809395e-01, -4.056191331313454551e-01
6.700000000000000400e-02, -4.014330486194777059e-01, -4.029564478920249493e-01
6.800000000000000488e-02, -3.987162353401053072e-01, -4.002651467064711199e-01
6.900000000000000577e-02, -3.959713891220484339e-01, -3.975456936600955671e-01
7.000000000000000666e-02, -3.931989860245544421e-01, -3.947985577618153830e-01
7.100000000000000755e-02, -3.903995068862668449e-01, -3.920242128612256849e-01
7.200000000000000844e-02, -3.875734372418299101e-01, -3.892231375650099801e-01
7.299999999999999545e-02, -3.847212672376780218e-01, -3.863958151525420104e-01
7.399999999999999634e-02, -3.818434915470272917e-01, -3.835427334907640096e-01
7.499999999999999722e-02, -3.789406092840793550e-01, -3.806643849483070663e-01
7.599999999999999811e-02, -3.760131239174571149e-01, -3.777612663088770195e-01
7.699999999999999900e-02, -3.730615431828839812e-01, -3.748338786839122139e-01
7.799999999999999989e-02, -3.700863789951236993e-01, -3.718827274245475323e-01
7.900000000000000078e-02, -3.670881473591949828e-01, -3.689083220328623902e-01
8.000000000000000167e-02, -3.640673682808767131e-01, -3.659111760724507167e-01
8.100000000000000255e-02, -3.610245656765199151e-01, -3.628918070783292982e-01
8.200000000000000344e-02, -3.579602672821810549e-01, -3.598507364661738261e-01
8.300000000000000433e-02, -3.548750045620915339e-01, -3.567884894409233953e-01
8.400000000000000522e-02, -3.517693126164836426e-01, -3.537055949047425152e-01
8.500000000000000611e-02, -3.486437300887834101e-01, -3.506025853643791046e-01
8.600000000000000699e-02, -3.454987990721891111e-01, -3.474799968379087001e-01
8.700000000000000788e-02, -3.423350650156527508e-01, -3.443383687609092858e-01
8.799999999999999489e-02, -3.391530766292782939e-01, -3.411782438920470950e-01
8.899999999999999578e-02, -3.359533857891548458e-01, -3.380001682181159595e-01
8.999999999999999667e-02, -3.327365474416412172e-01, -3.348046908585198267e-01
9.099999999999999756e-02, -3.295031195071160823e-01, -3.315923639692474612e-01
9.199999999999999845e-02, -3.262536627832150482e-01, -3.283637426463291709e-01
9.299999999999999933e-02, -3.229887408475667354e-01, -3.251193848287835531e-01
9.400000000000000022e-02, -3.197089199600470777e-01, -3.218598512010997226e-01
9.500000000000000111e-02, -3.164147689645692707e-01, -3.185857050952510816e-01
9.600000000000000200e-02, -3.131068591904241361e-01, -3.152975123922564515e-01
9.700000000000000289e-02, -3.097857643531907734e-01, -3.119958414233078292e-01
9.800000000000000377e-02, -3.064520604552326555e-01, -3.086812628704891370e-01
9.900000000000000466e-02, -3.031063256857968735e-01, -3.053543496670798052e-01
1.000000000000000056e-01, -2.997491403207348526e-01, -3.020156768974812111e-01
1.010000000000000064e-01, -2.963810866218605788e-01, -2.986658216967787993e-01
1.020000000000000073e-01, -2.930027487359647687e-01, -2.953053631499439891e-01
1.030000000000000082e-01, -2.896147125935014666e-01, -2.919348821907032376e-01
1.040000000000000091e-01, -2.862175658069664452e-01, -2.885549615000903567e-01
1.049999999999999961e-01, -2.828118975689821735e-01, -2.851661854046880773e-01
1.059999999999999970e-01, -2.793982985501108907e-01, -2.817691397745863968e-01
1.069999999999999979e-01, -2.759773607964090547e-01, -2.783644119210731960e-01
1.079999999999999988e-01, -2.725496776267452570e-01, -2.749525904940685050e-01
1.089999999999999997e-01, -2.691158435298963147e-01, -2.715342653793266225e-01
1.100000000000000006e-01, -2.656764540614395820e-01, -2.681100275953990364e-01
1.110000000000000014e-01, -2.622321057404631284e-01, -2.646804691904277584e-01
1.120000000000000023e-01, -2.587833959461054434e-01, -2.612461831387091760e-01
1.130000000000000032e-01, -2.553309228139479803e-01, -2.578077632371222894e-01
1.140000000000000041e-01, -2.518752851322765274e-01, -2.543658040013732080e-01
1.150000000000000050e-01, -2.484170822382278654e-01, -2.509209005621321209e-01
1.160000000000000059e-01, -2.449569139138431106e-01, -2.474736485610193049e-01
1.170000000000000068e-01, -2.414953802820425099e-01, -2.440246440464977629e-01
1.180000000000000077e-01, -2.380330817025420875e-01, -2.405744833696818463e-01
1.190000000000000085e-01, -2.345706186677279925e-01, -2.371237630800557272e-01
1.199999999999999956e-01, -2.311085916985096134e-01, -2.336730798211586746e-01
1.209999999999999964e-01, -2.276476012401657811e-01, -2.302230302262057160e-01
1.219999999999999973e-01, -2.241882475582059886e-01, -2.267742108136880652e-01
1.229999999999999982e-01, -2.207311306342607249e-01, -2.233272178829771859e-01
