# time, ED spin correlation, NQS spin correlation
-1.000000000000000021e-03, -5.000000000000003331e-01, -5.000000000000002220e-01
0.000000000000000000e+00, -5.000119998080013728e-01, -5.000123119763739687e-01
1.000000000000000021e-03, -5.000479969280784420e-01, -5.000479732283182877e-01
2.000000000000000042e-03, -5.001079844488953707e-01, -5.001062591633202992e-01
3.000000000000000062e-03, -5.001919508530322522e-01, -5.001875556663224476e-01
4.000000000000000083e-03, -5.002998800191976736e-01, -5.002921093124996776e-01
5.000000000000000104e-03, -5.004317512253230182e-01, -5.004200498337504355e-01
6.000000000000000125e-03, -5.005875391525415052e-01, -5.005714459255875548e-01
7.000000000000000146e-03, -5.007672138900501890e-01, -5.007463314870507221e-01
8.000000000000000167e-03, -5.009707409408515888e-01, -5.009447182345904137e-01
9.000000000000001055e-03, -5.011980812283766129e-01, -5.011666022884893046e-01
1.000000000000000021e-02, -5.014491911039891114e-01, -5.014119678882075215e-01
1.099999999999999936e-02, -5.017240223553638412e-01, -5.016807896292321267e-01
1.200000000000000025e-02, -5.020225222157448375e-01, -5.019730338849051066e-01
1.300000000000000114e-02, -5.023446333740759773e-01, -5.022886597524035546e-01
1.400000000000000029e-02, -5.026902939860045105e-01, -5.026276197071376517e-01
1.499999999999999944e-02, -5.030594376857545624e-01, -5.029898600710351886e-01
1.600000000000000033e-02, -5.034519935988699402e-01, -5.033753213578420205e-01
1.700000000000000122e-02, -5.038678863558214704e-01, -5.037839385346947196e-01
1.800000000000000211e-02, -5.043070361064772023e-01, -5.042156412252405406e-01
1.899999999999999953e-02, -5.047693585354339207e-01, -5.046703538710245462e-01
2.000000000000000042e-02, -5.052547648782057532e-01, -5.051479958625305633e-01
2.100000000000000130e-02, -5.057631619382660926e-01, -5.056484816477817557e-01
2.199999999999999872e-02, -5.062944521049409508e-01, -5.061717208241203192e-01
2.299999999999999961e-02, -5.068485333721507446e-01, -5.067176182172321575e-01
2.400000000000000050e-02, -5.074252993579939641e-01, -5.072860739504030381e-01
2.500000000000000139e-02, -5.080246393251733883e-01, -5.078769835062274529e-01
2.600000000000000228e-02, -5.086464382022559683e-01, -5.084902377824710440e-01
2.699999999999999969e-02, -5.092905766057680417e-01, -5.091257231433636843e-01
2.800000000000000058e-02, -5.099569308631146658e-01, -5.097833214673329616e-01
2.900000000000000147e-02, -5.106453730363255117e-01, -5.104629101919563317e-01
2.999999999999999889e-02, -5.113557709466183265e-01, -5.111643623567521111e-01
3.099999999999999978e-02, -5.120879881997764116e-01, -5.118875466442999178e-01
3.200000000000000067e-02, -5.128418842123366739e-01, -5.126323274200879077e-01
3.300000000000000155e-02, -5.136173142385807022e-01, -5.133985647714078837e-01
3.400000000000000244e-02, -5.144141293983253149e-01, -5.141861145455541848e-01
3.500000000000000333e-02, -5.152321767055080270e-01, -5.149948283875436239e-01
3.600000000000000422e-02, -5.160712990975586667e-01, -5.158245537775308920e-01
3.699999999999999817e-02, -5.169313354655556969e-01, -5.166751340680645344e-01
3.799999999999999906e-02, -5.178121206851586944e-01, -5.175464085213017373e-01
3.899999999999999994e-02, -5.187134856483108791e-01, -5.184382123462887293e-01
4.000000000000000083e-02, -5.196352572957084748e-01, -5.193503767363812917e-01
4.100000000000000172e-02, -5.205772586500270194e-01, -5.202827289068867600e-01
4.200000000000000261e-02, -5.215393088499001850e-01, -5.212350921329760300e-01
4.300000000000000350e-02, -5.225212231846446675e-01, -5.222072857879236363e-01
4.399999999999999745e-02, -5.235228131297252618e-01, -5.231991253817107612e-01
4.499999999999999833e-02, -5.245438863829489096e-01, -5.242104226000340317e-01
4.599999999999999922e-02, -5.255842469013880525e-01, -5.252409853437395304e-01
4.700000000000000011e-02, -5.266436949390187472e-01, -5.262906177687176612e-01
4.800000000000000100e-02, -5.277220270850726536e-01, -5.273591203262684157e-01
4.900000000000000189e-02, -5.288190363030897956e-01, -5.284462898039624656e-01
5.000000000000000278e-02, -5.299345119706707630e-01, -5.295519193670071845e-01
5.100000000000000366e-02, -5.310682399199140313e-01, -5.306757986001312544e-01
5.200000000000000455e-02, -5.322200024785364025e-01, -5.318177135499934094e-01
5.299999999999999850e-02, -5.333895785116644639e-01, -5.329774467681261951e-01
5.399999999999999939e-02, -5.345767434642929583e-01, -5.341547773544171873e-01
5.500000000000000028e-02, -5.357812694043977420e-01, -5.353494810011324434e-01
5.600000000000000117e-02, -5.370029250666987775e-01, -5.365613300374829642e-01
5.700000000000000205e-02, -5.382414758970616164e-01, -5.377900934747363859e-01
5.800000000000000294e-02, -5.394966840975318201e-01, -5.390355370518730149e-01
5.900000000000000383e-02, -5.407683086719908827e-01, -5.402974232817874256e-01
5.999999999999999778e-02, -5.420561054724266636e-01, -5.415755114980292939e-01
6.099999999999999867e-02, -5.433598272458098899e-01, -5.428695579020837991e-01
6.199999999999999956e-02, -5.446792236815647392e-01, -5.441793156111875973e-01
6.300000000000000044e-02, -5.460140414596287295e-01, -5.455045347066777017e-01
6.400000000000000133e-02, -5.473640242990893690e-01, -5.468449622828632783e-01
6.500000000000000222e-02, -5.487289130073884635e-01, -5.482003424964252414e-01
6.600000000000000311e-02, -5.501084455300868647e-01, -5.495704166163236648e-01
6.700000000000000400e-02, -5.515023570011778897e-01, -5.509549230742238901e-01
6.800000000000000488e-02, -5.529103797939415310e-01, -5.523535975154182376e-01
6.900000000000000577e-02, -5.543322435723269104e-01, -5.537661728502508707e-01
7.000000000000000666e-02, -5.557676753428564265e-01, -5.551923793060258294e-01
7.100000000000000755e-02, -5.572163995070396059e-01, -5.566319444794012306e-01
7.200000000000000844e-02, -5.586781379142875537e-01, -5.580845933892560895e-01
7.299999999999999545e-02, -5.601526099153164573e-01, -5.595500485300254345e-01
7.399999999999999634e-02, -5.616395324160318170e-01, -5.610280299254869485e-01
