# time, ED spin correlation, NQS spin correlation
5.100000000000000366e-02, -5.031931897280843557e-01, -5.031426189115048020e-01
5.200000000000000455e-02, -5.033151175521788367e-01, -5.032632306393179933e-01
5.299999999999999850e-02, -5.034392098575087848e-01, -5.033860027276225724e-01
5.399999999999999939e-02, -5.035654578286088423e-01, -5.035109266192923094e-01
5.500000000000000028e-02, -5.036938524968761488e-01, -5.036379935993898771e-01
5.600000000000000117e-02, -5.038243847412076093e-01, -5.037671947960543628e-01
5.700000000000000205e-02, -5.039570452886474872e-01, -5.038985211813776788e-01
5.800000000000000294e-02, -5.040918247150463216e-01, -5.040319635722784186e-01
5.900000000000000383e-02, -5.042287134457301701e-01, -5.041675126313692745e-01
5.999999999999999778e-02, -5.043677017561813969e-01, -5.043051588678193475e-01
6.099999999999999867e-02, -5.045087797727285661e-01, -5.044448926382180121e-01
6.199999999999999956e-02, -5.046519374732491015e-01, -5.045867041474328962e-01
6.300000000000000044e-02, -5.047971646878798291e-01, -5.047305834494696386e-01
6.400000000000000133e-02, -5.049444510997407320e-01, -5.048765204483329772e-01
6.500000000000000222e-02, -5.050937862456672534e-01, -5.050245048988861729e-01
6.600000000000000311e-02, -5.052451595169529242e-01, -5.051745264077137643e-01
6.700000000000000400e-02, -5.053985601601043154e-01, -5.053265744339883181e-01
6.800000000000000488e-02, -5.055539772776043161e-01, -5.054806382903365147e-01
6.900000000000000577e-02, -5.057113998286864032e-01, -5.056367071437114502e-01
7.000000000000000666e-02, -5.058708166301185694e-01, -5.057947700162667148e-01
7.100000000000000755e-02, -5.060322163569984655e-01, -5.059548157862377993e-01
7.200000000000000844e-02, -5.061955875435573127e-01, -5.061168331888248328e-01
7.299999999999999545e-02, -5.063609185839745841e-01, -5.062808108170816501e-01
7.399999999999999634e-02, -5.065281977332029006e-01, -5.064467371228107417e-01
7.499999999999999722e-02, -5.066974131078016974e-01, -5.066146004174616468e-01
7.599999999999999811e-02, -5.068685526867819924e-01, -5.067843888730384494e-01
7.699999999999999900e-02, -5.070416043124599259e-01, -5.069560905230087178e-01
7.799999999999999989e-02, -5.072165556913211804e-01, -5.071296932632242127e-01
7.900000000000000078e-02, -5.073933943948931713e-01, -5.073051848528412622e-01
8.000000000000000167e-02, -5.075721078606286740e-01, -5.074825529152544590e-01
8.100000000000000255e-02, -5.077526833927981098e-01, -5.076617849390301362e-01
8.200000000000000344e-02, -5.079351081633918241e-01, -5.078428682788533877e-01
8.300000000000000433e-02, -5.081193692130308026e-01, -5.080257901564763090e-01
8.400000000000000522e-02, -5.083054534518873790e-01, -5.082105376616760095e-01
8.500000000000000611e-02, -5.084933476606159353e-01, -5.083970977532197288e-01
